_id,id,symbol,name,platforms
122,aave-interest-bearing-steth,asteth,Aave Interest Bearing STETH,0x1982b2f5814301d4e9a8b0201555376e62f82428
123,aave-knc,aknc,Aave KNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda
124,aave-knc-v1,aknc,Aave KNC v1,0x9d91be44c06d373a8a226e1f3b146956083803eb
125,aave-link,alink,Aave LINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0
126,aave-link-v1,alink,Aave LINK v1,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84
127,aave-mana,amana,Aave MANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e
128,aave-mana-v1,amana,Aave MANA v1,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f
129,aave-mkr,amkr,Aave MKR,0xc713e5e149d5d0715dcd1c156a020976e7e56b88
130,aave-mkr-v1,amkr,Aave MKR v1,0x7deb5e830be29f91e298ba5ff1356bb7f8146998
131,aave-polygon-aave,amaave,Aave Polygon AAVE,None
132,aave-polygon-dai,amdai,Aave Polygon DAI,None
133,aave-polygon-usdc,amusdc,Aave Polygon USDC,None
134,aave-polygon-usdt,amusdt,Aave Polygon USDT,None
135,aave-polygon-wbtc,amwbtc,Aave Polygon WBTC,None
136,aave-polygon-weth,amweth,Aave Polygon WETH,None
137,aave-polygon-wmatic,amwmatic,Aave Polygon WMATIC,None
138,aave-rai,arai,Aave RAI,0xc9bc48c72154ef3e5425641a3c747242112a46af
139,aave-ren,aren,Aave REN,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a
140,aave-ren-v1,aren,Aave REN v1,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c
141,aave-snx,asnx,Aave SNX,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2
142,aave-snx-v1,asnx,Aave SNX v1,0x328c4c80bc7aca0834db37e6600a6c49e12da4de
143,aave-susd,asusd,Aave SUSD,0x6c5024cd4f8a59110119c56f8933403a539555eb
144,aave-susd-v1,asusd,Aave SUSD v1,0x625ae63000f46200499120b906716420bd059240
145,aave-tusd,atusd,Aave TUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636
146,aave-tusd-v1,atusd,Aave TUSD v1,0x4da9b813057d04baef4e5800e36083717b4a0341
147,aave-uni,auni,Aave UNI,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1
148,aave-usdc,ausdc,Aave USDC,0xbcca60bb61934080951369a648fb03df4f96263c
149,aave-usdc-v1,ausdc,Aave USDC v1,0x9ba00d6856a4edf4665bca2c2309936572473b7e
150,aave-usdt,ausdt,Aave USDT,0x3ed3b47dd13ec9a98b44e6204a523e766b225811
151,aave-usdt-v1,ausdt,Aave USDT v1,0x71fc860f7d3a592a4a98740e39db31d25db65ae8
152,aave-wbtc,awbtc,Aave WBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656
153,aave-wbtc-v1,awbtc,Aave WBTC v1,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3
154,aave-weth,aweth,Aave WETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e
155,aave-xsushi,axsushi,Aave XSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a
156,aave-yfi,ayfi,Aave YFI,0x5165d24277cd063f5ac44efd447b27025e888f37
157,aave-zrx,azrx,Aave ZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e
158,aave-zrx-v1,azrx,Aave ZRX v1,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f
159,aax-token,aab,AAX,0x686c650dbcfeaa75d09b883621ad810f5952bd5d
160,abachi,abi,Abachi,0xa31dfe74cda04de990cafc6a0ab2bb6d6c9077cd
161,abcc-token,at,ABCC,0xbf8fb919a8bbf28e590852aef2d284494ebc0657
162,abc-floor-index,abc,ABC Floor Index,None
163,abcmeta,meta,ABCMETA,None
164,abel-finance,abel,ABEL Finance,None
165,abell-coin,abc,Abell Coin,None
166,abey,abey,Abey,None
167,abitshadow-token,abst,Abitshadow,None
168,able-finance,able,Able Finance,None
169,aboat-token,aboat,Aboat Token,None
170,absolute-sync-token,ast,Absolute Sync,None
171,acala,aca,Acala,None
172,acala-dollar,ausd,Acala Dollar (Karura),None
173,acala-dollar-acala,ausd,Acala Dollar (Acala),None
174,aca-token,aca,ACA,None
175,accel-defi,accel,Accel Defi,0x7475c42f8bf2c19f4eaf12feaababa859fdc8914
176,accesslauncher,acx,AccessLauncher,None
177,access-protocol,acs,Access Protocol,None
178,ace-cash,acec,Ace Cash,None
179,aced,aced,Aced [OLD],None
180,acent,ace,Acent,0xec5483804e637d45cde22fa0869656b64b5ab1ab
181,acestarter,astar,AceStarter,None
182,acetoken,ace,ACEToken,None
183,acet-token,act,Acet,None
184,ac-exchange-token,acxt,ACDX Exchange,0x7be00ed6796b21656732e8f739fc1b8f1c53da0d
185,achain,act,Achain,None
186,acknoledger,ack,AcknoLedger,None
187,ac-milan-fan-token,acm,AC Milan Fan Token,None
188,acoconut,ac,ACoconut,0x9a0aba393aac4dfbff4333b06c407458002c6183
189,acoin,acoin,Acoin,None
190,acquire-fi,acq,Acquire.Fi,0x4bdcb66b968060d9390c1d12bd29734496205581
191,acreage-coin,acr,Acreage Coin,0x76306f029f8f99effe509534037ba7030999e3cf
192,acria,acria,ACRIA,0x44f5909e97e1cbf5fbbdf0fc92fd83cde5d5c58a
193,across-protocol,acx,Across Protocol,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f
194,acryptos,acs,ACryptoS,None
195,acryptosi,acsi,ACryptoSI,None
196,actinium,acm,Actinium,None
197,action-coin,actn,Action Coin,None
198,active-world-rewards-token,awrt,Active World Rewards,0x27ad8e47c48063b209fa5ca14c8c46ece49b82d2
199,acumen,acm,Acumen,None
200,acute-angle-cloud,aac,Double-A Chain,0xe75ad3aab14e4b0df8c5da4286608dabb21bd864
201,acy-finance,acy,ACY Finance,0xaf9db9e362e306688af48c4acb9618c06db38ac3
202,adaboy,adaboy,ADABoy,None
203,adacash,adacash,ADAcash,None
204,adadao,adao,ADADao,None
205,adaflect,adaflect,ADAFlect,None
206,adalend,adal,Adalend,0xae1107fc7cef1294f09185ac475c9886527dcd8a
207,adam,adam,ADAM,None
208,adamant,addy,Adamant,None
209,adamant-coin,admc,Adamant Coin,None
210,adamant-messenger,adm,ADAMANT Messenger,None
211,adana-demirspor,demir,Adana Demirspor,0xfec82a1b2638826bfe53ae2f87cfd94329cde60d
212,adanaspor-fan-token,adana,Adanaspor Fan Token,None
213,adapad,adapad,ADAPad,0xdb0170e2d0c1cc1b2e7a90313d9b9afa4f250289
214,adappter-token,adp,Adappter,0xc314b0e758d5ff74f63e307a86ebfe183c95767b
215,adaswap,asw,AdaSwap,0x56694577564fdd577a0abb20fe95c1e2756c2a11
216,adax,adax,ADAX,None
217,adbank,adb,adbank,0x2baac9330cf9ac479d819195794d79ad0c7616e3
218,add-xyz-new,add,Add.xyz (NEW),0x635d081fd8f6670135d8a3640e2cf78220787d56
219,adene,aden,Adene,None
220,adex,adx,Ambire AdEx,0xade00c28244d5ce17d72e40330b1c318cd12b7c3
221,ad-flex-token,adf,Ad Flex,0x7220e92d418e2eb59d0c25d195fa004bfd3afc42
222,aditus,adi,Aditus,0x8810c63470d38639954c6b41aac545848c46484a
223,admonkey,admonkey,AdMonkey,None
224,ado-network,ado,ADO.Network,None
225,adonis,adon,Adonis [OLD],None
226,adonis-2,adon,Adonis,None
227,adora-token,ara,Adora,0x9ac5c63ddcb93612e316ab31dfc8192bc8961988
228,adroverse,adr,Adroverse,None
229,adshares,ads,Adshares,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a
230,adtoken,adt,adChain,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd
231,advanced-internet-block,aib,Advanced Integrated Blocks,None
232,advanced-united-continent,auc,Advanced United Continent,0x87a92428bbc876d463c21c8e51b903f127d9a9f4
233,advantis,advt,Advantis,0x69e37422cb87d963367f73a119c8ce9a4d529b72
234,adventure-gold,agld,Adventure Gold,0x32353a6c91143bfd6c7d363b546e62a9a2489a20
235,adventurer-gold,gold,Adventurer Gold,0x486f4641ef2b50cc130dadbd27b6f271723873b8
236,adventure-token,twa,Adventure,0xa2ef2757d2ed560c9e3758d1946d7bcccbd5a7fe
237,advertise-coin,adco,Advertise Coin,0xb6c3dc857845a713d3531cea5ac546f6767992f4
238,aegis,ags,Aegis,0xdb2f2bcce3efa95eda95a233af45f3e0d4f00e2a
239,aegis-launchpad,agspad,Aegis Launchpad,None
240,aelf,elf,aelf,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
241,aelin,aelin,Aelin,None
242,aelysir,ael,Aelysir,0xd337382da15d12bb6e56498e91df64f86c8f1ea8
243,aen-smart-token,aens,AEN Smart,0xd38de88687172bde440755b5237987e4a87c23a7
244,aeon,aeon,Aeon,None
245,aerarium-fi,aera,Aerarium Fi,None
246,aerdrop,aer,Aerdrop,None
247,aergo,aergo,Aergo,0x91af0fbb28aba7e31403cb457106ce79397fd4e6
248,aerochain,aero-v2,Aerochain Coin V2,None
249,aeron,arnx,Aeron,0x0c37bcf456bc661c14d596683325623076d7e283
250,aerotyne,atyne,Aerotyne,None
251,aerovek-aviation,aero,Aerovek Aviation,None
252,aeternity,ae,Aeternity,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
253,aetherius,aeth,Aetherius,None
254,aeur,aeur,AEUR,None
255,aezora,azr,Azzure,None
256,afen-blockchain,afen,AFEN Blockchain,None
257,affinity,afnty,Affinity,None
258,affyn,fyn,Affyn,None
259,afin-coin,afin,Asian Fintech,0xee9e5eff401ee921b138490d00ca8d1f13f67a72
260,afkdao,afk,AFKDAO,None
261,afrep,afrep,Afrep,None
262,afreum,afr,Afreum,None
263,afrix,afx,Afrix,None
264,afrostar,afro,Afrostar,None
265,afyonspor-fan-token,afyon,Afyonspor Fan Token,None
266,aga-carbon-credit,agac,AGA Carbon Credit,None
267,aga-carbon-rewards,acar,AGA Carbon Rewards,None
268,agame,ag,AGAME,None
269,aga-rewards,edc,Edcoin,0x9d5963ba32e877871dff3e2e697283dc64066271
270,aga-rewards-2,agar,AGA Rewards,0xb453f1f2ee776daf2586501361c457db70e1ca0f
271,aga-token,aga,AGA,0x2d80f5f5328fdcb6eceb7cacf5dd8aedaec94e20
272,agavecoin,agvc,AgaveCoin,0x8b79656fc38a04044e495e22fad747126ca305c4
273,agave-token,agve,Agave,None
274,agenor,age,Agenor,None
275,ageofgods,aog,AgeOfGods,None
276,age-of-knights,gem,Age Of Knights,None
277,age-of-tanks,a.o.t,Age Of Tanks,None
278,age-of-zalmoxis-koson,koson,Age of Zalmoxis KOSON,None
279,ageur,ageur,agEUR,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8
280,aggle-io,aggl,aggle.io,None
281,aggregated-finance,agfi,Aggregated Finance,0x4d0f56d728c5232ab07faa0bdcba23670a35451f
282,agile,agl,Agile,None
283,agora-defi,agora,Agora Defi,None
284,agoras-currency-of-tau,agrs,Agoras: Currency of Tau,0x738865301a9b7dd80dc3666dd48cf034ec42bdda
285,agoric,bld,Agoric,None
286,agpc,agpc,AGPC,0x19fdc290974b574065ff8db4303a0b76aecf223e
287,agrello,dlt,Agrello,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f
288,agricoin,agn,Agricoin,None
289,agrinoble,agn,Agrinoble,None
